loc_type,ev_type,region,n_killed_a,know_ini,weapon,sc_animosity,anti_gov_sentmnts,pol_desires,n_injurd,duration
27,4,NA,0,1,1,TRUE,FALSE,FALSE,0,1
21,4,NA,0,1,1,FALSE,FALSE,FALSE,0,0
27,4,NA,0,0,1,FALSE,FALSE,FALSE,0,1
3,2,NA,0,1,26,TRUE,TRUE,TRUE,0,0
27,1,NA,0,1,1,FALSE,FALSE,FALSE,0,1
25,4,NA,0,1,26,FALSE,FALSE,FALSE,0,1
27,1,NA,0,1,1,TRUE,TRUE,TRUE,0,0
2,2,NA,0,0,1,FALSE,FALSE,FALSE,0,0
2,2,NA,0,1,1,TRUE,FALSE,FALSE,0,0
25,2,NA,0,1,1,FALSE,FALSE,FALSE,0,1
25,1,NA,0,1,1,FALSE,FALSE,FALSE,0,1
24,2,NA,0,1,14,TRUE,FALSE,FALSE,0,1
24,2,NA,1,1,14,TRUE,FALSE,FALSE,0,1
16,4,NA,0,1,1,TRUE,FALSE,FALSE,0,1
2,4,NA,0,1,1,TRUE,FALSE,FALSE,0,1
16,4,NA,0,1,1,TRUE,FALSE,FALSE,0,1
27,4,NA,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,NA,0,1,1,FALSE,FALSE,FALSE,0,1
2,2,NA,0,0,18,FALSE,FALSE,FALSE,0,0
16,1,NA,0,1,1,FALSE,FALSE,FALSE,0,1
16,2,NA,0,1,7,FALSE,FALSE,FALSE,0,1
16,1,NA,0,1,1,FALSE,FALSE,FALSE,0,1
27,2,NA,0,1,1,TRUE,FALSE,FALSE,0,0
27,1,NA,0,1,1,TRUE,FALSE,FALSE,0,0
18,2,NA,0,1,3,TRUE,FALSE,FALSE,2,0
18,2,NA,0,1,3,TRUE,FALSE,FALSE,2,0
2,2,NA,3,0,18,FALSE,FALSE,FALSE,50,1
16,2,NA,0,5,18,TRUE,FALSE,FALSE,0,1
4,2,NA,0,1,18,TRUE,FALSE,FALSE,0,1
25,4,NA,0,1,22,FALSE,TRUE,FALSE,0,0
25,4,NA,0,5,23,FALSE,FALSE,FALSE,0,1
24,2,NA,0,1,10,FALSE,FALSE,FALSE,0,1
2,2,NA,1,1,14,TRUE,FALSE,FALSE,0,1
2,1,NA,0,1,1,FALSE,TRUE,FALSE,0,0
18,1,NA,0,1,1,FALSE,TRUE,FALSE,0,0
25,4,NA,12,1,23,TRUE,FALSE,TRUE,0,0
27,2,NA,0,0,1,FALSE,FALSE,FALSE,0,0
24,4,NA,290,1,24,FALSE,FALSE,FALSE,0,1
27,NA,NA,0,1,1,FALSE,FALSE,FALSE,0,0
2,2,NA,0,1,1,TRUE,FALSE,FALSE,0,0
2,1,NA,0,1,1,TRUE,TRUE,FALSE,0,0
2,1,NA,0,1,1,TRUE,TRUE,FALSE,0,0
16,2,NA,0,1,1,TRUE,FALSE,FALSE,0,0
2,4,NA,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,NA,0,1,1,TRUE,FALSE,FALSE,0,0
10,2,NA,15,1,18,FALSE,FALSE,TRUE,155,0
25,2,NA,0,2,1,FALSE,FALSE,FALSE,0,1
2,2,NA,1,1,14,TRUE,TRUE,FALSE,1,1
2,2,NA,0,0,14,FALSE,FALSE,FALSE,0,1
27,2,NA,1,0,1,TRUE,FALSE,FALSE,0,0
2,4,NA,0,1,1,TRUE,FALSE,TRUE,0,1
2,2,NA,0,0,10,FALSE,FALSE,FALSE,0,1
2,2,NA,0,1,1,TRUE,FALSE,TRUE,0,1
2,4,NA,0,1,1,TRUE,FALSE,TRUE,0,0
12,2,NA,4,1,16,FALSE,FALSE,TRUE,0,0
2,2,NA,0,1,10,TRUE,TRUE,FALSE,0,1
27,NA,NA,200000,1,1,FALSE,FALSE,FALSE,0,1
27,2,NA,0,1,26,FALSE,TRUE,FALSE,0,1
2,2,NA,0,5,14,TRUE,TRUE,FALSE,0,1
2,2,NA,1,1,26,TRUE,TRUE,TRUE,0,1
9,4,NA,0,1,1,FALSE,FALSE,FALSE,0,0
27,1,NA,0,1,1,FALSE,FALSE,TRUE,0,1
18,1,NA,0,1,1,FALSE,TRUE,FALSE,0,0
18,2,NA,0,1,1,FALSE,FALSE,FALSE,0,0
18,2,NA,0,1,1,FALSE,TRUE,FALSE,0,0
16,1,NA,0,1,1,TRUE,FALSE,FALSE,0,0
27,1,NA,0,1,1,TRUE,FALSE,TRUE,0,1
2,2,NA,0,1,1,FALSE,FALSE,FALSE,0,1
28,4,NA,2,1,14,FALSE,FALSE,FALSE,0,1
4,2,NA,2,1,26,FALSE,TRUE,TRUE,0,1
2,2,NA,2,1,18,FALSE,TRUE,TRUE,10,1
13,1,NA,0,1,1,FALSE,TRUE,FALSE,0,0
2,4,NA,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
27,4,5,0,1,1,FALSE,FALSE,FALSE,0,0
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,1
0,1,5,0,1,1,FALSE,FALSE,FALSE,0,1
23,4,5,0,1,1,FALSE,FALSE,FALSE,0,0
27,NA,5,0,0,1,FALSE,FALSE,FALSE,0,0
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
27,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
